,en,ar
10,any,أي
11,new,الجديد
12,work,الشغل
13,part,جزء
14,take,يأخذ
15,get,احصل على
16,place,مكان
17,made,مصنوع
18,live,يعيش
19,where,أين
20,after,بعد، بعدما
21,back,الى الخلف
22,little,القليل
23,only,فقط
24,round,مستدير
25,man,رجل
26,year,عام
27,came,أتى
28,show,مشاهده
29,every,كل
30,good,حسن
31,me,أنا
32,give,يعطى
33,our,لنا
34,under,تحت
35,name,اسم
36,very,جدا
37,through,عبر
38,just,مجرد
39,form,شكل
40,sentence,جملة او حكم على
41,great,رائعة
42,think,فكر في
43,say,قل
44,help,يساعد
45,low,قليل
46,line,خط
47,differ,اختلف
48,turn,منعطف أو دور
49,cause,لانى
50,much,كثير
51,mean,يقصد
52,before,قبل
53,move,نقل
54,right,حق
55,boy,صبي
56,old,قديم
57,too,جدا
58,same,نفس
59,she,هي
60,all,الكل
61,there,هناك
62,when,متي
63,up,فوق
64,use,استعمال
65,your,لك
66,way,طريق
67,about,حول
68,many,عديدة
69,then,من ثم
70,them,معهم
71,write,اكتب
72,would,سيكون
73,like,مثل
74,so,وبالتالي
75,these,هؤلاء
76,her,لها
77,long,طويل
78,make,صنع
79,thing,شيء
80,see,ارى
81,him,له
82,two,اثنين
83,has,لديها
84,look,بحث
85,more,أكثر
86,day,يوم
87,could,استطاع
88,go,يذهب
89,come,يأتي
90,did,فعلت
91,number,عدد
92,sound,يبدو
93,no,لا
94,most,عظم
95,people,اشخاص
96,my,لي
97,over,على
98,know,أعرف
99,water,ماء
100,than,من
101,call,مكالمة
102,first,أول
103,who,من الذى
104,may,قد
105,down,تحت
106,side,الجانب
107,been,كان
108,now,حاليا
109,find,تجد
110,head,رئيس
111,stand,يقف
112,own,ملك
113,page,صفحة
114,should,يجب
115,country,بلد
116,found,وجدت
117,answer,إجابه
118,school,مدرسة
119,grow,تنمو
120,study,دراسة
121,still,ساكن
122,learn,يتعلم
123,plant,مصنع
124,cover,غطاء، يغطي
125,food,غذاء
126,sun,الشمس
127,four,أربعة
128,between,ما بين
129,state,حالة
130,keep,احتفظ
131,eye,عين
132,never,أبدا
133,last,الاخير
134,let,يترك
135,thought,فكر
136,city,مدينة
137,tree,شجرة
138,cross,تعبر
139,farm,مزرعة
140,hard,الصعب
141,start,بداية
142,might,قد
143,story,قصة
144,saw,رأى
145,far,بعيد
146,sea,لحر
147,draw,يرسم
148,left,اليسار
149,late,متأخر
150,run,يركض
151,don’t,لا
152,while,في حين
153,press,صحافة
154,close,أغلق
155,night,ليل
156,real,حقيقة
157,life,الحياة
158,few,قليل
159,north,شمال
160,book,الكتاب
161,carry,احمل
