,en,ar
0,light,ضوء
1,kind,طيب القلب
2,off,إيقاف
3,need,يحتاج
4,house,منزل
5,picture,صورة
6,try,محاولة
7,us,نحن
8,again,تكرارا
9,animal,حيوان
10,point,نقطة
11,mother,أم
12,world,العالمية
13,near,قرب
14,build,يبني
15,self,الذات
16,earth,الارض
17,father,الآب
18,any,أي
19,new,الجديد
20,work,الشغل
21,part,جزء
22,take,يأخذ
23,get,احصل على
24,place,مكان
25,made,مصنوع
26,live,يعيش
27,where,أين
28,after,بعد، بعدما
29,back,الى الخلف
30,little,القليل
31,only,فقط
32,round,مستدير
33,man,رجل
34,year,عام
35,came,أتى
36,show,مشاهده
37,every,كل
38,good,حسن
39,me,أنا
40,give,يعطى
41,our,لنا
42,under,تحت
43,name,اسم
44,very,جدا
45,through,عبر
46,just,مجرد
47,form,شكل
48,sentence,جملة او حكم على
49,great,رائعة
50,think,فكر في
51,say,قل
52,help,يساعد
53,low,قليل
54,line,خط
55,differ,اختلف
56,turn,منعطف أو دور
57,cause,لانى
58,much,كثير
59,mean,يقصد
60,before,قبل
61,move,نقل
62,right,حق
63,boy,صبي
64,old,قديم
65,too,جدا
66,same,نفس
67,she,هي
68,all,الكل
69,there,هناك
70,when,متي
71,up,فوق
72,use,استعمال
73,your,لك
74,way,طريق
75,about,حول
76,many,عديدة
77,then,من ثم
78,them,معهم
79,write,اكتب
80,would,سيكون
81,like,مثل
82,so,وبالتالي
83,these,هؤلاء
84,her,لها
85,long,طويل
86,make,صنع
87,thing,شيء
88,see,ارى
89,him,له
90,two,اثنين
91,has,لديها
92,look,بحث
93,more,أكثر
94,day,يوم
95,could,استطاع
96,go,يذهب
97,come,يأتي
98,did,فعلت
99,number,عدد
100,sound,يبدو
101,no,لا
102,most,عظم
103,people,اشخاص
104,my,لي
105,over,على
106,know,أعرف
107,water,ماء
108,than,من
109,call,مكالمة
110,first,أول
111,who,من الذى
112,may,قد
113,down,تحت
114,side,الجانب
115,been,كان
116,now,حاليا
117,find,تجد
118,head,رئيس
119,stand,يقف
120,own,ملك
121,page,صفحة
122,should,يجب
123,country,بلد
124,found,وجدت
125,answer,إجابه
126,school,مدرسة
127,grow,تنمو
128,study,دراسة
129,still,ساكن
130,learn,يتعلم
131,plant,مصنع
132,cover,غطاء، يغطي
133,food,غذاء
134,sun,الشمس
135,four,أربعة
136,between,ما بين
137,state,حالة
138,keep,احتفظ
139,eye,عين
140,never,أبدا
141,last,الاخير
142,let,يترك
143,thought,فكر
144,city,مدينة
145,tree,شجرة
146,cross,تعبر
147,farm,مزرعة
148,hard,الصعب
149,start,بداية
150,might,قد
151,story,قصة
152,saw,رأى
153,far,بعيد
154,sea,لحر
155,draw,يرسم
156,left,اليسار
157,late,متأخر
158,run,يركض
159,don’t,لا
160,while,في حين
161,press,صحافة
162,close,أغلق
163,night,ليل
164,real,حقيقة
165,life,الحياة
166,few,قليل
167,north,شمال
168,book,الكتاب
169,carry,احمل
170,took,أخذ
171,science,علم
172,eat,تأكل
173,room,مجال
174,friend,صديق
175,began,بدأت
176,idea,فكرة
177,fish,سمكة
178,mountain,جبل
179,stop,قف
180,once,بمجرد
181,base,يتمركز
182,hear,يسمع
183,horse,حصان
184,cut,يقطع
185,sure,بالتأكيد
186,watch,راقب
187,color,اللون
188,face,وجه
189,wood,خشب
190,main,الأساسية
191,open,افتح
192,seem,بدا
193,together,سويا
194,next,التالي
195,white,أبيض
196,children,الأطفال
197,begin,يبدأ
198,got,يملك
199,walk,يمشي
200,example,مثال
201,ease,يسهل
202,paper,ورق
203,group,مجموعة
204,always,دائما
205,music,موسيقى
206,those,أولئك
207,both,على حد سواء
208,mark,علامة
209,often,غالبا
210,letter,رسالة
211,until,حتى
212,mile,ميل
213,river,نهر
214,car,السيارات
215,feet,أقدام
216,care,رعاية
217,second,ثانيا
218,enough,يكفي
219,plain,عادي
220,girl,فتاة
221,usual,معتاد
